phase,Cathy DAY,Taimus WERNER-GIBBINGS,Joy BURCH,Mick GENTLEMAN,Brendan FORDE,Robyn SOXSMITH,Jannah FAHIZ,Johnathan DAVIS,Sue ELLERMAN,Laura NUTTALL,Mark PARTON,James DANIELS,Jane HIATT,Andrew WALL,Nicole LAWDER,Jacob GOWOR,Matthew KNIGHT,Andrew CLAPHAM,Bruce WILLETT,Greg BAYNHAM,Adrian OLLEY,Scott SANDFORD,Jason POTTER,exhausted,event
1,2564.0,4524.0,6374.0,6328.0,2525.0,574.0,647.0,2992.0,1302.0,1637.0,6143.0,2142.0,2420.0,4524.0,5800.0,310.0,422.0,752.0,510.0,882.0,816.0,148.0,443.0,0.0,primary votes
2,2567.0,4524.0,6378.0,6331.0,2528.0,576.0,648.0,2992.0,1304.0,1637.0,6147.0,2142.0,2424.0,4525.0,5803.0,314.0,424.0,762.0,512.0,897.0,824.0,0.0,519.0,1.0,Scott SANDFORD eliminated
3,2571.0,4528.0,6385.0,6335.0,2530.0,581.0,650.0,2997.0,1305.0,1642.0,6165.0,2147.0,2436.0,4537.0,5808.0,0.0,613.0,770.0,517.0,906.0,829.0,eliminated,522.0,5.0,Jacob GOWOR eliminated
4,2577.0,4533.0,6392.0,6338.0,2532.0,589.0,666.0,3006.0,1319.0,1661.0,6167.0,2155.0,2441.0,4544.0,5817.0,eliminated,618.0,1109.0,0.0,916.0,853.0,eliminated,541.0,5.0,Bruce WILLETT eliminated
5,2585.0,4549.0,6413.0,6349.0,2540.0,598.0,683.0,3022.0,1331.0,1671.0,6202.0,2185.0,2478.0,4602.0,5864.0,eliminated,648.0,1189.0,eliminated,964.0,898.0,eliminated,0.0,8.0,Jason POTTER eliminated
6,2598.0,4553.0,6426.0,6362.0,2554.0,0.0,1018.0,3056.0,1351.0,1703.0,6214.0,2193.0,2486.0,4609.0,5868.0,eliminated,652.0,1229.0,eliminated,993.0,904.0,eliminated,eliminated,10.0,Robyn SOXSMITH eliminated
7,2612.0,4567.0,6449.0,6388.0,2577.0,eliminated,1046.0,3071.0,1372.0,1718.0,6262.0,2254.0,2531.0,4664.0,5935.0,eliminated,1.0,1286.0,eliminated,1039.0,964.0,eliminated,eliminated,43.0,Matthew KNIGHT eliminated
8,2620.0,4576.0,6456.0,6406.0,2590.0,eliminated,1081.0,3078.0,1384.0,1726.0,6274.0,2276.0,2546.0,4688.0,5957.0,eliminated,eliminated,1312.0,eliminated,1752.0,0.0,eliminated,eliminated,56.0,Adrian OLLEY eliminated
9,2644.0,4614.0,6525.0,6454.0,2618.0,eliminated,0.0,3161.0,1523.0,1867.0,6302.0,2309.0,2577.0,4712.0,5999.0,eliminated,eliminated,1546.0,eliminated,1823.0,eliminated,eliminated,eliminated,104.0,Jannah FAHIZ eliminated
10,2690.0,4675.0,6605.0,6509.0,2645.0,eliminated,eliminated,3598.0,0.0,2514.0,6316.0,2334.0,2593.0,4730.0,6025.0,eliminated,eliminated,1581.0,eliminated,1835.0,eliminated,eliminated,eliminated,128.0,Sue ELLERMAN eliminated
11,2747.0,4761.0,6710.0,6585.0,2678.0,eliminated,eliminated,3815.0,eliminated,2768.0,6376.0,2359.0,2655.0,4786.0,6121.0,eliminated,eliminated,0.0,eliminated,2113.0,eliminated,eliminated,eliminated,304.0,Andrew CLAPHAM eliminated
12,2800.0,4832.0,6816.0,6776.0,2758.0,eliminated,eliminated,3926.0,eliminated,2852.0,6627.0,2476.0,2764.0,4968.0,6283.0,eliminated,eliminated,eliminated,eliminated,0.0,eliminated,eliminated,eliminated,900.0,Greg BAYNHAM eliminated
13,2824.0,4914.0,6849.0,6813.0,2777.0,eliminated,eliminated,3947.0,eliminated,2876.0,7193.0,2.0,3194.0,5557.0,6837.0,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,995.0,James DANIELS eliminated
14,3317.0,5424.0,7421.0,7394.0,1.0,eliminated,eliminated,4100.0,eliminated,2970.0,7251.0,eliminated,3225.0,5627.0,6953.0,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,1093.0,Brendan FORDE eliminated
15,3444.0,5527.0,7621.0,7478.0,eliminated,eliminated,eliminated,6178.0,eliminated,2.0,7281.0,eliminated,3289.0,5653.0,7046.0,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,1256.0,Laura NUTTALL eliminated
16,3500.0,5569.0,7769.0,7545.0,eliminated,eliminated,eliminated,6232.0,eliminated,eliminated,8085.0,eliminated,1.0,6478.0,8150.0,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,1444.0,Jane HIATT eliminated
17,0.0,6438.0,8965.0,8232.0,eliminated,eliminated,eliminated,6503.0,eliminated,eliminated,8175.0,eliminated,eliminated,6545.0,8272.0,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,1642.0,Cathy DAY eliminated
18,eliminated,6.0,11321.0,10587.0,eliminated,eliminated,eliminated,7179.0,eliminated,eliminated,8352.0,eliminated,eliminated,6679.0,8498.0,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,2150.0,Taimus WERNER-GIBBINGS eliminated
19,eliminated,eliminated,9135.807606000004,12147.658175999997,eliminated,eliminated,eliminated,7358.01895,eliminated,eliminated,8406.963656,eliminated,eliminated,6732.802452,8598.057078,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,2386.6920819999996,Joy BURCH elected
20,eliminated,eliminated,elected,9138.762232004052,eliminated,eliminated,eliminated,8074.145035000767,eliminated,eliminated,8562.094241999921,eliminated,eliminated,6884.423314000062,8730.205106999892,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,4240.562463999891,Mick GENTLEMAN elected
21,eliminated,eliminated,elected,elected,eliminated,eliminated,eliminated,8263.653629000766,eliminated,eliminated,11377.896820999908,eliminated,eliminated,13.000000000033959,11835.058325999877,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,5001.8213859999205,Andrew WALL eliminated
22,eliminated,eliminated,elected,elected,eliminated,eliminated,eliminated,8350.272144000965,eliminated,eliminated,13512.091352005313,eliminated,eliminated,eliminated,9134.889600993198,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,5481.177064999289,Nicole LAWDER elected
23,eliminated,eliminated,elected,elected,eliminated,eliminated,eliminated,8805.807421999813,eliminated,eliminated,9151.363321017048,eliminated,eliminated,eliminated,elected,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,9386.36981799406,Mark PARTON elected
24,eliminated,eliminated,elected,elected,eliminated,eliminated,eliminated,23.695846999725603,eliminated,eliminated,elected,eliminated,eliminated,eliminated,elected,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,eliminated,18168.48139299153,Johnathan DAVIS eliminated
