phase,event,total votes,exhausted,Bernie STRANG,Olivia HELMORE,Krishna NADIMPALLI,James MILLIGAN,Jacob VADAKKEDATHU,Leanne CASTLEY,Alistair COE,Andrew BRADDOCK,Mainul HAQUE,John KEARSLEY,Scott YOUNG,Bethany WILLIAMS,Mike STELZIG,Stephanie POLLARD,David POLLARD,Bernie BRENNAN,Francine HORNE,Deepak-Raj GUPTA,Tom FISCHER,Suzanne ORR,Georgia PHILLIPS,Michael PETTERSSON,Helen CROSS,Fuxin LI,Mohammad Munir HUSSAIN
1,primary votes,26457.0,0.0,539.0,736.0,946.0,1914.0,1336.0,2302.0,4250.0,1667.0,1014.0,170.0,172.0,584.0,154.0,170.0,683.0,151.0,196.0,1800.0,880.0,2066.0,1699.0,2529.0,101.0,342.0,56.0
2,Mohammad Munir HUSSAIN eliminated,26457.0,1.0,540.0,738.0,947.0,1915.0,1339.0,2302.0,4254.0,1669.0,1026.0,170.0,173.0,585.0,155.0,170.0,687.0,152.0,197.0,1802.0,880.0,2069.0,1702.0,2529.0,108.0,347.0,0.0
3,Helen CROSS eliminated,26457.0,2.0,541.0,740.0,947.0,1916.0,1344.0,2307.0,4256.0,1674.0,1027.0,171.0,183.0,591.0,157.0,177.0,699.0,155.0,202.0,1804.0,882.0,2078.0,1706.0,2533.0,0.0,365.0,0.0
4,Bernie BRENNAN eliminated,26457.0,3.0,544.0,740.0,947.0,1917.0,1344.0,2310.0,4259.0,1689.0,1028.0,175.0,189.0,596.0,158.0,181.0,700.0,0.0,294.0,1809.0,882.0,2079.0,1709.0,2537.0,0.0,367.0,0.0
5,Mike STELZIG eliminated,26457.0,4.0,545.0,741.0,949.0,1923.0,1344.0,2312.0,4259.0,1694.0,1031.0,184.0,197.0,681.0,0.0,195.0,716.0,0.0,294.0,1809.0,882.0,2080.0,1711.0,2538.0,0.0,368.0,0.0
6,John KEARSLEY eliminated,26457.0,5.0,549.0,742.0,949.0,1926.0,1345.0,2312.0,4260.0,1712.0,1032.0,0.0,323.0,691.0,0.0,196.0,722.0,0.0,296.0,1811.0,882.0,2082.0,1711.0,2543.0,0.0,368.0,0.0
7,Stephanie POLLARD eliminated,26457.0,5.0,551.0,745.0,953.0,1927.0,1352.0,2318.0,4262.0,1725.0,1035.0,0.0,330.0,707.0,0.0,0.0,831.0,0.0,298.0,1812.0,887.0,2086.0,1716.0,2546.0,0.0,371.0,0.0
8,Francine HORNE eliminated,26457.0,19.0,553.0,757.0,957.0,1934.0,1357.0,2329.0,4270.0,1776.0,1067.0,0.0,383.0,725.0,0.0,0.0,852.0,0.0,0.0,1819.0,893.0,2098.0,1728.0,2557.0,0.0,383.0,0.0
9,Scott YOUNG eliminated,26457.0,34.0,555.0,769.0,966.0,1951.0,1363.0,2344.0,4293.0,1833.0,1096.0,0.0,0.0,805.0,0.0,0.0,911.0,0.0,0.0,1829.0,909.0,2101.0,1738.0,2569.0,0.0,391.0,0.0
10,Fuxin LI eliminated,26457.0,61.0,568.0,780.0,971.0,1972.0,1383.0,2363.0,4320.0,1851.0,1108.0,0.0,0.0,826.0,0.0,0.0,957.0,0.0,0.0,1856.0,938.0,2132.0,1764.0,2607.0,0.0,0.0,0.0
