identifier,votes,pref,value
10250368-1,"['4-1', '4-4', '4-5', '4-3', '4-2']",0,1.0
10647055-1,"['4-4', '4-5', '4-1', '4-3', '4-2', '5-1', '5-2', '6-1', '6-2', '7-1', '7-2', '2-1', '2-2']",0,1.0
52703494-1,"['4-1', '7-2', '2-2', '1-2', '7-1']",0,1.0
64563163-1,"['4-4', '4-2', '4-5', '4-3', '4-1']",0,1.0
91640486-1,"['4-4', '1-2', '3-1', '1-3', '4-2']",0,1.0
146390610-1,"['4-4', '3-1', '2-1', '4-5', '4-1']",0,1.0
162502130-1,"['4-3', '4-2', '4-1', '4-5', '4-4']",0,1.0
165227972-1,"['4-4', '3-1', '1-2', '6-2', '6-1', '2-2', '2-1', '3-3', '5-2', '5-1', '3-2', '1-4', '8-2', '8-1', '1-1', '1-3', '4-2', '4-3', '4-5', '1-5', '4-1', '7-2', '7-1']",0,1.0
170667810-1,"['4-1', '4-3', '4-5', '4-4', '4-2']",0,1.0
187751715-1,"['4-2', '4-5', '4-1', '4-4', '4-3', '5-1', '5-2']",0,1.0
187848793-1,"['4-4', '4-1', '4-5', '4-3', '4-2']",0,1.0
207263553-1,"['4-3', '4-1', '4-2', '4-4', '4-5']",0,1.0
263578091-1,"['4-1', '4-3', '4-5', '7-1', '7-2']",0,1.0
296296190-1,"['4-1', '4-5', '4-3', '4-4', '4-2']",0,1.0
303031107-1,"['4-4', '4-1', '4-5', '4-3', '4-2']",0,1.0
334780508-1,"['4-2', '4-4', '4-1', '4-3', '4-5']",0,1.0
336905952-1,"['4-1', '4-3', '4-4', '4-2', '4-5']",0,1.0
359676639-1,"['4-1', '4-2', '4-3', '4-4', '6-1']",0,1.0
367190504-1,"['4-4', '4-2', '4-1', '4-3']",0,1.0
399556136-1,"['4-4', '4-2', '4-3', '4-1', '4-5']",0,1.0
426522249-1,"['4-1', '4-5', '4-4', '4-3', '4-2']",0,1.0
445743786-1,"['4-1', '4-3', '4-5', '4-2', '4-4']",0,1.0
543031390-1,"['4-3', '4-2', '1-4', '4-5', '1-5']",0,1.0
550811200-1,"['4-1', '4-5', '4-4', '4-3', '4-2', '7-1', '7-2']",0,1.0
557709707-1,"['4-1', '4-4', '4-5', '4-2', '4-3']",0,1.0
559544204-1,"['4-1', '7-1', '5-2', '1-4', '4-4']",0,1.0
602117017-1,"['4-4', '4-1', '4-2', '4-3', '4-5']",0,1.0
610466361-1,"['4-1', '4-3', '4-2', '4-5', '4-4']",0,1.0
615261573-1,"['4-1', '4-5', '4-4', '4-2', '4-3']",0,1.0
674035381-1,"['4-1', '5-1', '4-5', '4-3', '4-2']",0,1.0
677924655-1,"['4-1', '4-5', '4-4', '4-3', '4-2', '3-3', '3-2', '3-1']",0,1.0
752594152-1,"['4-1', '4-5', '4-3', '4-4', '4-2']",0,1.0
789202410-1,"['4-1', '4-3', '4-4', '4-2', '4-5']",0,1.0
810720798-1,"['4-1', '2-1', '6-1', '7-1', '1-4']",0,1.0
820984154-1,"['4-1', '4-5', '4-2', '4-3', '4-4']",0,1.0
845316591-1,"['4-4', '4-5', '4-3', '4-1', '4-2', '6-1', '6-2', '5-1', '5-2', '3-3', '3-1', '3-2']",0,1.0
847697138-1,"['4-1', '4-4', '4-3', '4-2', '4-5']",0,1.0
867077691-1,"['4-2', '1-3', '1-4', '1-5', '1-1']",0,1.0
900014390-1,"['4-2', '4-1', '4-5', '4-3', '4-4']",0,1.0
910376941-1,"['4-4', '4-3', '4-2', '4-1', '4-5']",0,1.0
939959604-1,"['4-4', '3-3', '2-1', '4-5', '4-3']",0,1.0
987897676-1,"['4-1', '4-3', '4-5', '4-4', '4-2']",0,1.0
1023010141-1,"['4-1', '4-2', '4-3', '4-4', '4-5']",0,1.0
1057202042-1,"['4-4', '4-1', '4-2', '4-3', '4-5']",0,1.0
1146125113-1,"['4-1', '4-3', '4-5', '4-2', '4-4']",0,1.0
1152408154-1,"['4-1', '4-5', '4-3', '4-4', '4-2']",0,1.0
1168539815-1,"['4-1', '1-1', '4-3', '4-5', '4-4']",0,1.0
1184515339-1,"['4-4', '4-1', '4-2', '1-2', '4-5']",0,1.0
1188828526-1,"['4-1', '4-4', '4-2', '4-3', '4-5']",0,1.0
