id,votes,pref,value
71141745,"['2-2', '3-1', '3-2', '2-4', '7-1']",0,1
258036824,"['8-1', '8-3', '8-5', '8-4', '8-2']",0,1
336369681,"['3-1', '3-2', '1-2', '1-1', '7-2']",0,1
363200385,"['8-3', '8-4', '8-5', '8-2', '8-1', '3-2', '3-1']",0,1
393993218,"['8-3', '3-2', '2-5', '4-2', '5-2']",0,1
501912323,"['8-3', '8-2', '8-4', '3-2', '3-1']",0,1
507063773,"['2-5', '2-2', '2-4', '2-3', '2-1']",0,1
521268096,"['2-1', '8-1', '8-2', '9-1', '9-2']",0,1
572526003,"['2-4', '2-5', '2-2', '2-1', '2-3']",0,1
661423681,"['2-5', '9-2', '2-2', '2-4', '2-3']",0,1
683852629,"['3-1', '5-1', '3-2', '4-1', '4-2', '8-2', '8-1', '8-3', '5-2', '8-5', '7-2', '7-1', '8-4']",0,1
819534838,"['5-1', '4-1', '4-2', '3-1', '3-2', '8-2', '8-1', '8-3', '8-5', '8-4', '6-2', '6-1']",0,1
845098640,"['2-5', '2-1', '2-4', '2-2', '2-3']",0,1
865614423,"['3-2', '3-1', '2-2', '8-5', '2-4']",0,1
880195818,"['2-5', '1-1', '1-2', '8-5', '8-4']",0,1
926360656,"['8-5', '2-4', '2-2', '2-5', '4-1', '8-1', '5-2', '3-1', '2-1', '2-3']",0,1
935683953,"['8-2', '8-1', '8-3', '8-4', '8-5']",0,1
1043448018,"['8-3', '8-5', '2-3', '2-1', '3-1']",0,1
1082693336,"['2-5', '1-2', '2-2', '8-2', '8-5', '8-3', '8-4', '8-1']",0,1
1125475028,"['3-1', '3-2', '8-2', '8-5', '8-1']",0,1
1187340361,"['8-4', '8-2', '8-1', '8-3', '8-5']",0,1
1220416098,"['8-3', '8-2', '8-4', '3-2', '3-1', '8-5', '8-1']",0,1
1457452062,"['3-1', '9-1', '9-2', '3-2', '4-2']",0,1
1534347499,"['8-5', '8-4', '8-2', '8-1', '8-3', '3-1', '3-2']",0,1
1563413704,"['3-2', '3-1', '8-5', '8-3', '8-2', '8-4', '8-1']",0,1
1573606062,"['3-1', '3-2', '8-4', '8-5', '8-3', '8-1', '8-2']",0,1
1581793925,"['1-2', '3-1', '8-4', '1-1', '3-2']",0,1
