"PPN","batch","pollingplace"
1,1001001,"Bonython"
1,1001002,"Bonython"
1,1001003,"Bonython"
1,1001004,"Bonython"
1,1001005,"Bonython"
2,1002001,"Calwell"
2,1002002,"Calwell"
2,1002003,"Calwell"
2,1002004,"Calwell"
2,1002005,"Calwell"
2,1002006,"Calwell"
6,1006001,"Fadden"
6,1006002,"Fadden"
6,1006003,"Fadden"
6,1006004,"Fadden"
6,1006005,"Fadden"
6,1006006,"Fadden"
7,1007001,"Gilmore"
7,1007002,"Gilmore"
7,1007003,"Gilmore"
7,1007004,"Gilmore"
7,1007999,"Gilmore"
8,1008001,"Gordon"
8,1008002,"Gordon"
8,1008003,"Gordon"
8,1008004,"Gordon"
8,1008005,"Gordon"
8,1008006,"Gordon"
8,1008007,"Gordon"
8,1008999,"Gordon"
9,1009001,"Gowrie"
9,1009002,"Gowrie"
9,1009003,"Gowrie"
9,1009004,"Gowrie"
9,1009005,"Gowrie"
9,1009999,"Gowrie"
10,1010001,"Isabella Plains"
10,1010002,"Isabella Plains"
10,1010003,"Isabella Plains"
10,1010004,"Isabella Plains"
10,1010005,"Isabella Plains"
10,1010006,"Isabella Plains"
12,1012001,"Kambah North"
12,4012001,"Kambah North"
12,4012002,"Kambah North"
12,4012003,"Kambah North"
12,4012004,"Kambah North"
12,4012005,"Kambah North"
12,4012006,"Kambah North"
12,4012999,"Kambah North"
13,1013001,"Kambah South"
13,1013002,"Kambah South"
13,1013003,"Kambah South"
13,1013004,"Kambah South"
13,1013005,"Kambah South"
13,4013001,"Kambah South"
13,4013002,"Kambah South"
13,4013003,"Kambah South"
13,4013999,"Kambah South"
14,1014001,"Kambah West"
14,1014002,"Kambah West"
14,1014003,"Kambah West"
14,1014004,"Kambah West"
14,1014005,"Kambah West"
14,1014006,"Kambah West"
14,1014007,"Kambah West"
14,1014008,"Kambah West"
14,1014009,"Kambah West"
14,1014010,"Kambah West"
14,1014999,"Kambah West"
14,4014001,"Kambah West"
15,1015001,"Monash"
15,1015002,"Monash"
15,1015003,"Monash"
15,1015004,"Monash"
15,1015005,"Monash"
15,1015006,"Monash"
15,1015007,"Monash"
15,1015999,"Monash"
15,4015001,"Monash"
16,1016001,"Pearce"
16,4016001,"Pearce"
16,4016002,"Pearce"
16,4016003,"Pearce"
16,4016004,"Pearce"
16,4016005,"Pearce"
16,4016006,"Pearce"
16,4016007,"Pearce"
16,4016008,"Pearce"
16,4016999,"Pearce"
17,1017001,"Richardson"
17,1017002,"Richardson"
17,1017003,"Richardson"
17,1017004,"Richardson"
18,1018001,"Tharwa"
18,1018999,"Tharwa"
19,1019001,"Theodore"
19,1019002,"Theodore"
19,1019003,"Theodore"
19,1019004,"Theodore"
19,1019005,"Theodore"
19,1019006,"Theodore"
19,1019999,"Theodore"
20,1020001,"Wanniassa"
20,1020002,"Wanniassa"
20,1020003,"Wanniassa"
20,1020004,"Wanniassa"
20,1020005,"Wanniassa"
20,1020006,"Wanniassa"
20,1020999,"Wanniassa"
20,4020001,"Wanniassa"
21,1021001,"Wanniassa Hills"
21,1021002,"Wanniassa Hills"
21,1021003,"Wanniassa Hills"
21,1021004,"Wanniassa Hills"
