id,ecode,pcode,ccode,cname,party
1-1-1,1,1,1,Cathy DAY,ALP
1-1-2,1,1,2,Taimus WERNER-GIBBINGS,AJP
1-1-3,1,1,3,Joy BURCH,GREEN
1-1-4,1,1,4,Mick GENTLEMAN,LIB
1-1-5,1,1,5,Brendan FORDE,LDP
1-2-1,1,2,1,Robyn SOXSMITH,ALP
1-2-2,1,2,2,Jannah FAHIZ,AJP
1-3-1,1,3,1,Johnathan DAVIS,ALP
1-3-2,1,3,2,Sue ELLERMAN,AJP
1-3-3,1,3,3,Laura NUTTALL,GREEN
1-4-1,1,4,1,Mark PARTON,ALP
1-4-2,1,4,2,James DANIELS,AJP
1-4-3,1,4,3,Jane HIATT,GREEN
1-4-4,1,4,4,Andrew WALL,LIB
1-4-5,1,4,5,Nicole LAWDER,LDP
1-5-1,1,5,1,Jacob GOWOR,ALP
1-5-2,1,5,2,Matthew KNIGHT,AJP
1-6-1,1,6,1,Andrew CLAPHAM,ALP
1-6-2,1,6,2,Bruce WILLETT,AJP
1-7-1,1,7,1,Greg BAYNHAM,ALP
1-7-2,1,7,2,Adrian OLLEY,AJP
1-8-1,1,8,1,Scott SANDFORD,ALP
1-8-2,1,8,2,Jason POTTER,AJP
2-1-1,2,1,1,Oliver SMITH,SFF
2-1-2,2,1,2,Matthew OGILVIE,DLP
2-2-1,2,2,1,Helen McCLURE,SFF
2-2-2,2,2,2,Ian McCLURE,DLP
2-3-1,2,3,1,Oksana DEMETRIOS,SFF
2-3-2,2,3,2,Jonathan STAVRIDIS,DLP
2-3-3,2,3,3,Sok Kheng NGEP,CLIM
2-4-1,2,4,1,Carolyne DREW,SFF
2-4-2,2,4,2,Lara DREW,DLP
2-5-1,2,5,1,Paul GABRIEL,SFF
2-5-2,2,5,2,Mark O'CONNOR,DLP
2-6-1,2,6,1,Vijay DUBEY,SFF
2-6-2,2,6,2,Angela LOUNT,DLP
2-6-3,2,6,3,Alan TUTT,CLIM
2-6-4,2,6,4,Bill STEFANIAK,AJP
2-6-5,2,6,5,Chic HENRY,SUST
2-7-1,2,7,1,Ignatius ROZARIO,SFF
2-7-2,2,7,2,Elizabeth KIKKERT,DLP
2-7-3,2,7,3,Robert GUNNING,CLIM
2-7-4,2,7,4,Kacey LAM,AJP
2-7-5,2,7,5,Peter CAIN,SUST
2-8-1,2,8,1,Guy JAKEMAN,SFF
2-8-2,2,8,2,Dominic DE LUCA,DLP
2-9-1,2,9,1,Katt MILLNER,SFF
2-9-2,2,9,2,Jo CLAY,DLP
