id,cname,party,primary,votes
1-1,Adriana BOISEN,GREEN,0.0,0.0
1-2,Michael BREWER,GREEN,0.0,0.0
1-3,Shane RATTENBURY,GREEN,0.0,0.0
1-4,Rebecca VASSAROTTI,GREEN,0.0,0.0
2-1,John HAYDON,SUST,0.0,0.0
2-2,Joy ANGEL,SUST,0.0,0.0
3-1,Rattesh GUMBER,LIB,0.0,0.0
3-2,Candice BURCH,LIB,0.0,0.0
3-3,Elizabeth LEE,LIB,0.0,0.0
3-4,Patrick PENTONY,LIB,0.0,0.0
3-5,Robert JOHNSON,LIB,0.0,0.0
4-1,Alvin HOPPER,CAP,0.0,0.0
4-2,Robyn WILLIAMS,CAP,0.0,0.0
5-1,Rachel STEPHEN-SMITH,ALP,0.0,0.0
5-2,Judy ANDERSON,ALP,0.0,0.0
5-3,Andrew BARR,ALP,0.0,0.0
5-4,Jacob INGRAM,ALP,0.0,0.0
5-5,Maddy NORTHAM,ALP,0.0,0.0
6-1,Petar JOHNSON,CLIM,0.0,0.0
6-2,Sophia FORNER,CLIM,0.0,0.0
6-3,Alix O'HARA,CLIM,0.0,0.0
7-1,Peta Anne BRYANT,PROG,0.0,0.0
7-2,Therese FAULKNER,PROG,0.0,0.0
7-3,Tim BOHM,PROG,0.0,0.0
8-1,Julie SMITH,AJP,0.0,0.0
8-2,Serrin RUTLEDGE-PRIOR,AJP,0.0,0.0
9-1,Bruce PAINE,UNG,0.0,0.0
9-2,Marilena DAMIANO,UNG,0.0,0.0
