phase,event,total votes,exhausted,Oliver SMITH,Matthew OGILVIE,Helen McCLURE,Ian McCLURE,Oksana DEMETRIOS,Jonathan STAVRIDIS,Sok Kheng NGEP,Carolyne DREW,Lara DREW,Paul GABRIEL,Mark O'CONNOR,Vijay DUBEY,Angela LOUNT,Alan TUTT,Bill STEFANIAK,Chic HENRY,Ignatius ROZARIO,Elizabeth KIKKERT,Robert GUNNING,Kacey LAM,Peter CAIN,Guy JAKEMAN,Dominic DE LUCA,Katt MILLNER,Jo CLAY,Tim LIERSCH,Tara CHEYNE,Yvette BERRY,Gordon RAMSAY,Sue DUCKER,Greg LLOYD,Mignonne CULLEN
1,primary votes,55481.0,0.0,607.0,666.0,719.0,617.0,197.0,212.0,197.0,417.0,536.0,403.0,576.0,410.0,488.0,623.0,2190.0,1505.0,1591.0,5174.0,2802.0,2229.0,3044.0,256.0,202.0,2220.0,3460.0,1256.0,6256.0,8660.0,4730.0,1274.0,1264.0,700.0
2,Oksana DEMETRIOS eliminated,55481.0,1.0,610.0,666.0,724.0,617.0,0.0,256.0,232.0,436.0,549.0,423.0,581.0,412.0,488.0,624.0,2192.0,1507.0,1592.0,5177.0,2802.0,2231.0,3049.0,257.0,202.0,2235.0,3463.0,1261.0,6257.0,8663.0,4734.0,1274.0,1266.0,700.0
3,Dominic DE LUCA eliminated,55481.0,3.0,610.0,669.0,724.0,618.0,0.0,257.0,232.0,436.0,550.0,423.0,582.0,414.0,490.0,628.0,2197.0,1511.0,1596.0,5187.0,2803.0,2240.0,3055.0,379.0,0.0,2237.0,3467.0,1264.0,6259.0,8665.0,4739.0,1277.0,1268.0,701.0
4,Sok Kheng NGEP eliminated,55481.0,4.0,612.0,669.0,727.0,620.0,0.0,384.0,0.0,447.0,563.0,432.0,588.0,414.0,491.0,633.0,2203.0,1512.0,1596.0,5190.0,2804.0,2243.0,3057.0,379.0,0.0,2239.0,3475.0,1272.0,6265.0,8670.0,4743.0,1278.0,1269.0,702.0
5,Guy JAKEMAN eliminated,55481.0,18.0,633.0,684.0,737.0,627.0,0.0,387.0,0.0,457.0,568.0,443.0,592.0,424.0,496.0,640.0,2223.0,1526.0,1624.0,5222.0,2827.0,2260.0,3081.0,1.0,0.0,2257.0,3488.0,1280.0,6279.0,8683.0,4751.0,1280.0,1277.0,716.0
6,Jonathan STAVRIDIS eliminated,55481.0,26.0,640.0,690.0,741.0,630.0,0.0,0.0,0.0,488.0,613.0,474.0,640.0,429.0,502.0,644.0,2231.0,1532.0,1628.0,5233.0,2832.0,2268.0,3082.0,1.0,0.0,2289.0,3532.0,1301.0,6289.0,8699.0,4760.0,1283.0,1279.0,725.0
7,Vijay DUBEY eliminated,55481.0,26.0,651.0,692.0,751.0,634.0,0.0,0.0,0.0,496.0,619.0,482.0,649.0,0.0,544.0,693.0,2295.0,1586.0,1655.0,5244.0,2841.0,2285.0,3092.0,1.0,0.0,2301.0,3534.0,1309.0,6310.0,8709.0,4782.0,1287.0,1283.0,730.0
8,Paul GABRIEL eliminated,55481.0,27.0,654.0,692.0,752.0,636.0,0.0,0.0,0.0,513.0,625.0,0.0,967.0,0.0,552.0,698.0,2306.0,1591.0,1661.0,5252.0,2845.0,2291.0,3096.0,1.0,0.0,2325.0,3549.0,1316.0,6316.0,8714.0,4790.0,1287.0,1285.0,740.0
9,Carolyne DREW eliminated,55481.0,30.0,665.0,698.0,765.0,637.0,0.0,0.0,0.0,0.0,925.0,0.0,986.0,0.0,562.0,708.0,2312.0,1604.0,1670.0,5260.0,2851.0,2301.0,3099.0,1.0,0.0,2349.0,3557.0,1329.0,6330.0,8724.0,4794.0,1291.0,1286.0,747.0
10,Angela LOUNT eliminated,55481.0,35.0,671.0,708.0,768.0,639.0,0.0,0.0,0.0,0.0,945.0,0.0,1016.0,0.0,0.0,782.0,2423.0,1711.0,1679.0,5292.0,2863.0,2323.0,3104.0,1.0,0.0,2360.0,3580.0,1334.0,6344.0,8749.0,4803.0,1300.0,1294.0,757.0
11,Ian McCLURE eliminated,55481.0,44.0,681.0,726.0,1086.0,0.0,0.0,0.0,0.0,0.0,991.0,0.0,1036.0,0.0,0.0,792.0,2434.0,1718.0,1684.0,5311.0,2870.0,2338.0,3117.0,1.0,0.0,2369.0,3598.0,1345.0,6354.0,8780.0,4819.0,1314.0,1313.0,760.0
12,Oliver SMITH eliminated,55481.0,55.0,0.0,1081.0,1160.0,0.0,0.0,0.0,0.0,0.0,1021.0,0.0,1063.0,0.0,0.0,806.0,2456.0,1753.0,1695.0,5324.0,2879.0,2349.0,3129.0,1.0,0.0,2379.0,3601.0,1348.0,6360.0,8789.0,4830.0,1315.0,1319.0,768.0
13,Mignonne CULLEN eliminated,55481.0,81.0,0.0,1112.0,1180.0,0.0,0.0,0.0,0.0,0.0,1059.0,0.0,1155.0,0.0,0.0,833.0,2508.0,1773.0,1712.0,5359.0,2896.0,2369.0,3150.0,1.0,0.0,2427.0,3676.0,1391.0,6415.0,8851.0,4873.0,1328.0,1332.0,0.0
14,Alan TUTT eliminated,55481.0,92.0,0.0,1140.0,1190.0,0.0,0.0,0.0,0.0,0.0,1069.0,0.0,1181.0,0.0,0.0,0.0,2801.0,1997.0,1719.0,5393.0,2929.0,2383.0,3170.0,1.0,0.0,2434.0,3689.0,1403.0,6431.0,8883.0,4903.0,1334.0,1339.0,0.0
15,Lara DREW eliminated,55481.0,183.0,0.0,1197.0,1216.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1371.0,0.0,0.0,0.0,2836.0,2042.0,1732.0,5432.0,2953.0,2405.0,3189.0,1.0,0.0,2552.0,3827.0,1477.0,6479.0,8932.0,4945.0,1348.0,1363.0,0.0
16,Matthew OGILVIE eliminated,55481.0,327.0,0.0,0.0,1315.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1526.0,0.0,0.0,0.0,2968.0,2237.0,1760.0,5496.0,3027.0,2422.0,3247.0,1.0,0.0,2566.0,3842.0,1497.0,6512.0,8993.0,4996.0,1370.0,1378.0,0.0
17,Helen McCLURE eliminated,55481.0,510.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1629.0,0.0,0.0,0.0,3045.0,2311.0,1810.0,5562.0,3059.0,2462.0,3301.0,1.0,0.0,2652.0,3895.0,1539.0,6638.0,9090.0,5090.0,1451.0,1435.0,0.0
18,Greg LLOYD eliminated,55481.0,541.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1645.0,0.0,0.0,0.0,3054.0,2340.0,1816.0,5578.0,3070.0,2468.0,3330.0,1.0,0.0,2679.0,3943.0,1578.0,6940.0,9431.0,5413.0,1652.0,1.0,0.0
19,Yvette BERRY elected,55480.999999999985,542.9900199999968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1646.404720000006,0.0,0.0,0.0,3056.828950000012,2341.951000000008,1816.702360000003,5582.76044000002,3071.3461900000057,2469.5022700000063,3331.1315800000048,1.0,0.0,2682.8629800000163,3949.438300000027,1580.2826700000096,7009.611680000293,9247.371879999228,5470.495970000242,1678.3189900001107,1.0,0.0
20,Tim LIERSCH eliminated,55480.99999999999,601.2436499999964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1675.443740000006,0.0,0.0,0.0,3074.9265000000123,2358.0485500000086,1824.7413800000031,5599.85799000002,3084.443740000006,2490.5217800000064,3346.2486400000053,1.0,0.0,3267.1361200000174,4532.828500000029,6.817657549618161e-12,7092.884820000294,9247.371879999228,5575.925190000244,1706.377520000111,1.0,0.0
