phase,event,total votes,exhausted,Adriana BOISEN,Michael BREWER,Shane RATTENBURY,Rebecca VASSAROTTI,John HAYDON,Joy ANGEL,Rattesh GUMBER,Candice BURCH,Elizabeth LEE,Patrick PENTONY,Robert JOHNSON,Alvin HOPPER,Robyn WILLIAMS,Rachel STEPHEN-SMITH,Judy ANDERSON,Andrew BARR,Jacob INGRAM,Maddy NORTHAM,Petar JOHNSON,Sophia FORNER,Alix O'HARA,Peta Anne BRYANT,Therese FAULKNER,Tim BOHM,Julie SMITH,Serrin RUTLEDGE-PRIOR,Bruce PAINE,Marilena DAMIANO
1,primary votes,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
2,Andrew BARR elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
3,Robyn WILLIAMS elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
4,Alvin HOPPER elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
5,Petar JOHNSON elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
6,Alix O'HARA elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
7,Sophia FORNER elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
8,Marilena DAMIANO elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
9,Serrin RUTLEDGE-PRIOR elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
10,John HAYDON elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
11,Joy ANGEL elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
12,Julie SMITH elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
13,Peta Anne BRYANT elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
14,Bruce PAINE elected by default,50600.0,0.0,1250.0,904.0,6388.0,3093.0,365.0,435.0,929.0,3978.0,5040.0,2384.0,1628.0,108.0,75.0,2786.0,1371.0,11148.0,1736.0,2172.0,156.0,209.0,195.0,472.0,901.0,1173.0,447.0,343.0,693.0,221.0
