phase,event,total votes,exhausted,Edmund HANDBY,Yana del VALLE,Jill MAIL,Geoff BUCKMASTER,Terry BAKER,Tjanara GORENG GORENG,Emma DAVIDSON,Gordon YEATMAN,Mark GILMAYER,Brendan LONG,Bec CODY,Chris STEEL,Marisa PATERSON,Tim DOBSON,Rohan BYRNES,Jackson HILLMAN,Peter VEENSTRA,Richard FORNER,Andrew DEMETRIOS,Amardeep SINGH,Giulia JONES,Sarah SUINE,Ed COCKS,Jeremy HANSON,Stephen LIN,Robert KNIGHT,Brendan WHYTE,Fiona CARRICK,Lee PERREN-LEVERIDGE
1,primary votes,53754.0,0.0,464.0,613.0,374.0,461.0,982.0,1644.0,3677.0,339.0,422.0,1828.0,3686.0,7407.0,4197.0,2264.0,121.0,146.0,167.0,104.0,133.0,3226.0,3535.0,1494.0,2658.0,8209.0,614.0,837.0,243.0,3783.0,126.0
2,Richard FORNER elected by default,53754.0,0.0,464.0,613.0,374.0,461.0,982.0,1644.0,3677.0,339.0,422.0,1828.0,3686.0,7407.0,4197.0,2264.0,121.0,146.0,167.0,104.0,133.0,3226.0,3535.0,1494.0,2658.0,8209.0,614.0,837.0,243.0,3783.0,126.0
3,Rohan BYRNES elected by default,53754.0,0.0,464.0,613.0,374.0,461.0,982.0,1644.0,3677.0,339.0,422.0,1828.0,3686.0,7407.0,4197.0,2264.0,121.0,146.0,167.0,104.0,133.0,3226.0,3535.0,1494.0,2658.0,8209.0,614.0,837.0,243.0,3783.0,126.0
4,Lee PERREN-LEVERIDGE elected by default,53754.0,0.0,464.0,613.0,374.0,461.0,982.0,1644.0,3677.0,339.0,422.0,1828.0,3686.0,7407.0,4197.0,2264.0,121.0,146.0,167.0,104.0,133.0,3226.0,3535.0,1494.0,2658.0,8209.0,614.0,837.0,243.0,3783.0,126.0
5,Andrew DEMETRIOS elected by default,53754.0,0.0,464.0,613.0,374.0,461.0,982.0,1644.0,3677.0,339.0,422.0,1828.0,3686.0,7407.0,4197.0,2264.0,121.0,146.0,167.0,104.0,133.0,3226.0,3535.0,1494.0,2658.0,8209.0,614.0,837.0,243.0,3783.0,126.0
6,Jackson HILLMAN elected by default,53754.0,0.0,464.0,613.0,374.0,461.0,982.0,1644.0,3677.0,339.0,422.0,1828.0,3686.0,7407.0,4197.0,2264.0,121.0,146.0,167.0,104.0,133.0,3226.0,3535.0,1494.0,2658.0,8209.0,614.0,837.0,243.0,3783.0,126.0
7,Peter VEENSTRA elected by default,53754.0,0.0,464.0,613.0,374.0,461.0,982.0,1644.0,3677.0,339.0,422.0,1828.0,3686.0,7407.0,4197.0,2264.0,121.0,146.0,167.0,104.0,133.0,3226.0,3535.0,1494.0,2658.0,8209.0,614.0,837.0,243.0,3783.0,126.0
8,Brendan WHYTE elected by default,53754.0,0.0,464.0,613.0,374.0,461.0,982.0,1644.0,3677.0,339.0,422.0,1828.0,3686.0,7407.0,4197.0,2264.0,121.0,146.0,167.0,104.0,133.0,3226.0,3535.0,1494.0,2658.0,8209.0,614.0,837.0,243.0,3783.0,126.0
9,Gordon YEATMAN elected by default,53754.0,0.0,464.0,613.0,374.0,461.0,982.0,1644.0,3677.0,339.0,422.0,1828.0,3686.0,7407.0,4197.0,2264.0,121.0,146.0,167.0,104.0,133.0,3226.0,3535.0,1494.0,2658.0,8209.0,614.0,837.0,243.0,3783.0,126.0
10,Jill MAIL elected by default,53754.0,0.0,464.0,613.0,374.0,461.0,982.0,1644.0,3677.0,339.0,422.0,1828.0,3686.0,7407.0,4197.0,2264.0,121.0,146.0,167.0,104.0,133.0,3226.0,3535.0,1494.0,2658.0,8209.0,614.0,837.0,243.0,3783.0,126.0
