phase,event,total votes,exhausted,Bernie STRANG,Olivia HELMORE,Krishna NADIMPALLI,James MILLIGAN,Jacob VADAKKEDATHU,Leanne CASTLEY,Alistair COE,Andrew BRADDOCK,Mainul HAQUE,John KEARSLEY,Scott YOUNG,Bethany WILLIAMS,Mike STELZIG,Stephanie POLLARD,David POLLARD,Bernie BRENNAN,Francine HORNE,Deepak-Raj GUPTA,Tom FISCHER,Suzanne ORR,Georgia PHILLIPS,Michael PETTERSSON,Helen CROSS,Fuxin LI,Mohammad Munir HUSSAIN
1,primary votes,53459.0,0.0,1039.0,1478.0,1899.0,3834.0,2680.0,4601.0,8685.0,3431.0,2009.0,331.0,363.0,1128.0,318.0,319.0,1410.0,310.0,391.0,3763.0,1796.0,4344.0,3273.0,5086.0,199.0,656.0,116.0
2,Mohammad Munir HUSSAIN elected by default,53459.0,0.0,1039.0,1478.0,1899.0,3834.0,2680.0,4601.0,8685.0,3431.0,2009.0,331.0,363.0,1128.0,318.0,319.0,1410.0,310.0,391.0,3763.0,1796.0,4344.0,3273.0,5086.0,199.0,656.0,116.0
3,Helen CROSS elected by default,53459.0,0.0,1039.0,1478.0,1899.0,3834.0,2680.0,4601.0,8685.0,3431.0,2009.0,331.0,363.0,1128.0,318.0,319.0,1410.0,310.0,391.0,3763.0,1796.0,4344.0,3273.0,5086.0,199.0,656.0,116.0
4,Bernie BRENNAN elected by default,53459.0,0.0,1039.0,1478.0,1899.0,3834.0,2680.0,4601.0,8685.0,3431.0,2009.0,331.0,363.0,1128.0,318.0,319.0,1410.0,310.0,391.0,3763.0,1796.0,4344.0,3273.0,5086.0,199.0,656.0,116.0
5,Mike STELZIG elected by default,53459.0,0.0,1039.0,1478.0,1899.0,3834.0,2680.0,4601.0,8685.0,3431.0,2009.0,331.0,363.0,1128.0,318.0,319.0,1410.0,310.0,391.0,3763.0,1796.0,4344.0,3273.0,5086.0,199.0,656.0,116.0
6,Stephanie POLLARD elected by default,53459.0,0.0,1039.0,1478.0,1899.0,3834.0,2680.0,4601.0,8685.0,3431.0,2009.0,331.0,363.0,1128.0,318.0,319.0,1410.0,310.0,391.0,3763.0,1796.0,4344.0,3273.0,5086.0,199.0,656.0,116.0
7,John KEARSLEY elected by default,53459.0,0.0,1039.0,1478.0,1899.0,3834.0,2680.0,4601.0,8685.0,3431.0,2009.0,331.0,363.0,1128.0,318.0,319.0,1410.0,310.0,391.0,3763.0,1796.0,4344.0,3273.0,5086.0,199.0,656.0,116.0
8,Scott YOUNG elected by default,53459.0,0.0,1039.0,1478.0,1899.0,3834.0,2680.0,4601.0,8685.0,3431.0,2009.0,331.0,363.0,1128.0,318.0,319.0,1410.0,310.0,391.0,3763.0,1796.0,4344.0,3273.0,5086.0,199.0,656.0,116.0
9,Francine HORNE elected by default,53459.0,0.0,1039.0,1478.0,1899.0,3834.0,2680.0,4601.0,8685.0,3431.0,2009.0,331.0,363.0,1128.0,318.0,319.0,1410.0,310.0,391.0,3763.0,1796.0,4344.0,3273.0,5086.0,199.0,656.0,116.0
10,Fuxin LI elected by default,53459.0,0.0,1039.0,1478.0,1899.0,3834.0,2680.0,4601.0,8685.0,3431.0,2009.0,331.0,363.0,1128.0,318.0,319.0,1410.0,310.0,391.0,3763.0,1796.0,4344.0,3273.0,5086.0,199.0,656.0,116.0
