id,votes,pref,value
10250368,"['1-4-1', '1-4-4', '1-4-5', '1-4-3', '1-4-2']",0,1
10647055,"['1-4-4', '1-4-5', '1-4-1', '1-4-3', '1-4-2', '1-5-1', '1-5-2', '1-6-1', '1-6-2', '1-7-1', '1-7-2', '1-2-1', '1-2-2']",0,1
52703494,"['1-4-1', '1-7-2', '1-2-2', '1-1-2', '1-7-1']",0,1
64563163,"['1-4-4', '1-4-2', '1-4-5', '1-4-3', '1-4-1']",0,1
91640486,"['1-4-4', '1-1-2', '1-3-1', '1-1-3', '1-4-2']",0,1
146390610,"['1-4-4', '1-3-1', '1-2-1', '1-4-5', '1-4-1']",0,1
162502130,"['1-4-3', '1-4-2', '1-4-1', '1-4-5', '1-4-4']",0,1
165227972,"['1-4-4', '1-3-1', '1-1-2', '1-6-2', '1-6-1', '1-2-2', '1-2-1', '1-3-3', '1-5-2', '1-5-1', '1-3-2', '1-1-4', '1-8-2', '1-8-1', '1-1-1', '1-1-3', '1-4-2', '1-4-3', '1-4-5', '1-1-5', '1-4-1', '1-7-2', '1-7-1']",0,1
170667810,"['1-4-1', '1-4-3', '1-4-5', '1-4-4', '1-4-2']",0,1
187751715,"['1-4-2', '1-4-5', '1-4-1', '1-4-4', '1-4-3', '1-5-1', '1-5-2']",0,1
187848793,"['1-4-4', '1-4-1', '1-4-5', '1-4-3', '1-4-2']",0,1
207263553,"['1-4-3', '1-4-1', '1-4-2', '1-4-4', '1-4-5']",0,1
263578091,"['1-4-1', '1-4-3', '1-4-5', '1-7-1', '1-7-2']",0,1
296296190,"['1-4-1', '1-4-5', '1-4-3', '1-4-4', '1-4-2']",0,1
303031107,"['1-4-4', '1-4-1', '1-4-5', '1-4-3', '1-4-2']",0,1
334780508,"['1-4-2', '1-4-4', '1-4-1', '1-4-3', '1-4-5']",0,1
336905952,"['1-4-1', '1-4-3', '1-4-4', '1-4-2', '1-4-5']",0,1
359676639,"['1-4-1', '1-4-2', '1-4-3', '1-4-4', '1-6-1']",0,1
367190504,"['1-4-4', '1-4-2', '1-4-1', '1-4-3']",0,1
399556136,"['1-4-4', '1-4-2', '1-4-3', '1-4-1', '1-4-5']",0,1
426522249,"['1-4-1', '1-4-5', '1-4-4', '1-4-3', '1-4-2']",0,1
445743786,"['1-4-1', '1-4-3', '1-4-5', '1-4-2', '1-4-4']",0,1
543031390,"['1-4-3', '1-4-2', '1-1-4', '1-4-5', '1-1-5']",0,1
550811200,"['1-4-1', '1-4-5', '1-4-4', '1-4-3', '1-4-2', '1-7-1', '1-7-2']",0,1
557709707,"['1-4-1', '1-4-4', '1-4-5', '1-4-2', '1-4-3']",0,1
559544204,"['1-4-1', '1-7-1', '1-5-2', '1-1-4', '1-4-4']",0,1
602117017,"['1-4-4', '1-4-1', '1-4-2', '1-4-3', '1-4-5']",0,1
610466361,"['1-4-1', '1-4-3', '1-4-2', '1-4-5', '1-4-4']",0,1
615261573,"['1-4-1', '1-4-5', '1-4-4', '1-4-2', '1-4-3']",0,1
674035381,"['1-4-1', '1-5-1', '1-4-5', '1-4-3', '1-4-2']",0,1
677924655,"['1-4-1', '1-4-5', '1-4-4', '1-4-3', '1-4-2', '1-3-3', '1-3-2', '1-3-1']",0,1
752594152,"['1-4-1', '1-4-5', '1-4-3', '1-4-4', '1-4-2']",0,1
789202410,"['1-4-1', '1-4-3', '1-4-4', '1-4-2', '1-4-5']",0,1
810720798,"['1-4-1', '1-2-1', '1-6-1', '1-7-1', '1-1-4']",0,1
820984154,"['1-4-1', '1-4-5', '1-4-2', '1-4-3', '1-4-4']",0,1
845316591,"['1-4-4', '1-4-5', '1-4-3', '1-4-1', '1-4-2', '1-6-1', '1-6-2', '1-5-1', '1-5-2', '1-3-3', '1-3-1', '1-3-2']",0,1
847697138,"['1-4-1', '1-4-4', '1-4-3', '1-4-2', '1-4-5']",0,1
867077691,"['1-4-2', '1-1-3', '1-1-4', '1-1-5', '1-1-1']",0,1
900014390,"['1-4-2', '1-4-1', '1-4-5', '1-4-3', '1-4-4']",0,1
910376941,"['1-4-4', '1-4-3', '1-4-2', '1-4-1', '1-4-5']",0,1
939959604,"['1-4-4', '1-3-3', '1-2-1', '1-4-5', '1-4-3']",0,1
987897676,"['1-4-1', '1-4-3', '1-4-5', '1-4-4', '1-4-2']",0,1
1023010141,"['1-4-1', '1-4-2', '1-4-3', '1-4-4', '1-4-5']",0,1
1057202042,"['1-4-4', '1-4-1', '1-4-2', '1-4-3', '1-4-5']",0,1
1146125113,"['1-4-1', '1-4-3', '1-4-5', '1-4-2', '1-4-4']",0,1
1152408154,"['1-4-1', '1-4-5', '1-4-3', '1-4-4', '1-4-2']",0,1
1168539815,"['1-4-1', '1-1-1', '1-4-3', '1-4-5', '1-4-4']",0,1
1184515339,"['1-4-4', '1-4-1', '1-4-2', '1-1-2', '1-4-5']",0,1
1188828526,"['1-4-1', '1-4-4', '1-4-2', '1-4-3', '1-4-5']",0,1
1201537655,"['1-4-1', '1-4-4', '1-4-5', '1-4-2', '1-4-3']",0,1
1227371416,"['1-4-1', '1-4-5', '1-4-4', '1-4-2', '1-4-3']",0,1
1234000089,"['1-4-1', '1-2-2', '1-4-5', '1-2-1', '1-4-3']",0,1
1234381610,"['1-4-4', '1-4-5', '1-3-2', '1-5-2', '1-6-1']",0,1
1251634212,"['1-4-1', '1-4-5', '1-4-3', '1-4-4', '1-4-2', '1-7-1', '1-7-2', '1-5-1', '1-5-2', '1-6-1', '1-6-2', '1-8-1', '1-8-2', '1-2-1', '1-3-3', '1-2-2', '1-3-1', '1-3-2', '1-1-2', '1-1-1', '1-1-3', '1-1-5', '1-1-4']",0,1
1283016504,"['1-4-1', '1-4-4', '1-4-5', '1-4-3', '1-4-2', '1-6-1', '1-6-2', '1-8-1', '1-8-2', '1-5-1', '1-5-2', '1-7-1', '1-7-2', '1-2-1', '1-2-2', '1-3-1', '1-3-3', '1-3-2', '1-1-1', '1-1-5', '1-1-2', '1-1-3', '1-1-4']",0,1
