id,votes,pref,value
10250368,"['4-1', '4-4', '4-5', '4-3', '4-2']",0,1
10647055,"['4-4', '4-5', '4-1', '4-3', '4-2', '5-1', '5-2', '6-1', '6-2', '7-1', '7-2', '2-1', '2-2']",0,1
52703494,"['4-1', '7-2', '2-2', '1-2', '7-1']",0,1
64563163,"['4-4', '4-2', '4-5', '4-3', '4-1']",0,1
91640486,"['4-4', '1-2', '3-1', '1-3', '4-2']",0,1
146390610,"['4-4', '3-1', '2-1', '4-5', '4-1']",0,1
162502130,"['4-3', '4-2', '4-1', '4-5', '4-4']",0,1
165227972,"['4-4', '3-1', '1-2', '6-2', '6-1', '2-2', '2-1', '3-3', '5-2', '5-1', '3-2', '1-4', '8-2', '8-1', '1-1', '1-3', '4-2', '4-3', '4-5', '1-5', '4-1', '7-2', '7-1']",0,1
170667810,"['4-1', '4-3', '4-5', '4-4', '4-2']",0,1
187751715,"['4-2', '4-5', '4-1', '4-4', '4-3', '5-1', '5-2']",0,1
187848793,"['4-4', '4-1', '4-5', '4-3', '4-2']",0,1
207263553,"['4-3', '4-1', '4-2', '4-4', '4-5']",0,1
263578091,"['4-1', '4-3', '4-5', '7-1', '7-2']",0,1
296296190,"['4-1', '4-5', '4-3', '4-4', '4-2']",0,1
303031107,"['4-4', '4-1', '4-5', '4-3', '4-2']",0,1
334780508,"['4-2', '4-4', '4-1', '4-3', '4-5']",0,1
336905952,"['4-1', '4-3', '4-4', '4-2', '4-5']",0,1
359676639,"['4-1', '4-2', '4-3', '4-4', '6-1']",0,1
367190504,"['4-4', '4-2', '4-1', '4-3']",0,1
399556136,"['4-4', '4-2', '4-3', '4-1', '4-5']",0,1
426522249,"['4-1', '4-5', '4-4', '4-3', '4-2']",0,1
445743786,"['4-1', '4-3', '4-5', '4-2', '4-4']",0,1
543031390,"['4-3', '4-2', '1-4', '4-5', '1-5']",0,1
550811200,"['4-1', '4-5', '4-4', '4-3', '4-2', '7-1', '7-2']",0,1
557709707,"['4-1', '4-4', '4-5', '4-2', '4-3']",0,1
559544204,"['4-1', '7-1', '5-2', '1-4', '4-4']",0,1
602117017,"['4-4', '4-1', '4-2', '4-3', '4-5']",0,1
610466361,"['4-1', '4-3', '4-2', '4-5', '4-4']",0,1
615261573,"['4-1', '4-5', '4-4', '4-2', '4-3']",0,1
674035381,"['4-1', '5-1', '4-5', '4-3', '4-2']",0,1
677924655,"['4-1', '4-5', '4-4', '4-3', '4-2', '3-3', '3-2', '3-1']",0,1
752594152,"['4-1', '4-5', '4-3', '4-4', '4-2']",0,1
789202410,"['4-1', '4-3', '4-4', '4-2', '4-5']",0,1
810720798,"['4-1', '2-1', '6-1', '7-1', '1-4']",0,1
820984154,"['4-1', '4-5', '4-2', '4-3', '4-4']",0,1
845316591,"['4-4', '4-5', '4-3', '4-1', '4-2', '6-1', '6-2', '5-1', '5-2', '3-3', '3-1', '3-2']",0,1
847697138,"['4-1', '4-4', '4-3', '4-2', '4-5']",0,1
867077691,"['4-2', '1-3', '1-4', '1-5', '1-1']",0,1
900014390,"['4-2', '4-1', '4-5', '4-3', '4-4']",0,1
910376941,"['4-4', '4-3', '4-2', '4-1', '4-5']",0,1
939959604,"['4-4', '3-3', '2-1', '4-5', '4-3']",0,1
987897676,"['4-1', '4-3', '4-5', '4-4', '4-2']",0,1
1023010141,"['4-1', '4-2', '4-3', '4-4', '4-5']",0,1
1057202042,"['4-4', '4-1', '4-2', '4-3', '4-5']",0,1
1146125113,"['4-1', '4-3', '4-5', '4-2', '4-4']",0,1
1152408154,"['4-1', '4-5', '4-3', '4-4', '4-2']",0,1
1168539815,"['4-1', '1-1', '4-3', '4-5', '4-4']",0,1
1184515339,"['4-4', '4-1', '4-2', '1-2', '4-5']",0,1
1188828526,"['4-1', '4-4', '4-2', '4-3', '4-5']",0,1
1201537655,"['4-1', '4-4', '4-5', '4-2', '4-3']",0,1
1227371416,"['4-1', '4-5', '4-4', '4-2', '4-3']",0,1
1234000089,"['4-1', '2-2', '4-5', '2-1', '4-3']",0,1
1234381610,"['4-4', '4-5', '3-2', '5-2', '6-1']",0,1
1251634212,"['4-1', '4-5', '4-3', '4-4', '4-2', '7-1', '7-2', '5-1', '5-2', '6-1', '6-2', '8-1', '8-2', '2-1', '3-3', '2-2', '3-1', '3-2', '1-2', '1-1', '1-3', '1-5', '1-4']",0,1
1283016504,"['4-1', '4-4', '4-5', '4-3', '4-2', '6-1', '6-2', '8-1', '8-2', '5-1', '5-2', '7-1', '7-2', '2-1', '2-2', '3-1', '3-3', '3-2', '1-1', '1-5', '1-2', '1-3', '1-4']",0,1
1284341853,"['4-1', '1-3', '6-2', '3-3', '2-2']",0,1
1294320461,"['4-1', '4-5', '4-2', '5-2', '5-1']",0,1
1311714383,"['4-2', '4-5', '4-1', '4-3', '4-4', '7-1', '7-2', '6-1', '6-2', '8-1', '8-2', '5-1', '5-2', '2-1', '2-2', '1-5', '1-1', '1-3', '1-4', '1-2']",0,1
1313063849,"['4-2', '4-3', '4-4', '2-1', '6-1']",0,1
1339172096,"['4-4', '4-1', '4-5', '4-3', '4-2']",0,1
1416684215,"['4-1', '4-5', '4-3', '4-4', '4-2']",0,1
1421049662,"['4-2', '4-1', '4-4', '6-1', '6-2']",0,1
1423053227,"['4-4', '4-1', '4-5', '4-3', '4-2']",0,1
1425149820,"['4-4', '4-5', '4-1', '6-1', '4-2']",0,1
1462535092,"['4-4', '4-2', '4-5', '4-1', '4-3']",0,1
1479238124,"['4-1', '4-4', '4-5', '4-2', '4-3']",0,1
1486058749,"['4-4', '1-2', '4-5', '1-3', '6-1', '6-2', '2-1', '2-2', '4-3', '1-1', '1-5', '4-2', '4-1', '1-4', '3-1', '3-2', '3-3', '8-1', '8-2', '5-1', '5-2', '7-1', '7-2']",0,1
1528292664,"['4-4', '4-1', '4-5', '4-3', '4-2']",0,1
1545543729,"['4-2', '7-1', '7-2', '6-2', '4-4']",0,1
1546469704,"['4-3', '4-1', '4-2', '6-1', '6-2']",0,1
1572757394,"['4-1', '4-5', '4-4', '4-2', '4-3']",0,1
1578186386,"['4-4', '4-5', '4-2', '4-3', '4-1']",0,1
1602456258,"['4-1', '4-5', '4-4', '4-2', '4-3', '7-1', '7-2', '5-1', '5-2', '6-1', '6-2', '8-1', '8-2', '2-1', '3-1', '2-2', '3-2', '3-3', '1-3', '1-2', '1-5', '1-1', '1-4']",0,1
1626190543,"['4-3', '4-4', '4-5', '4-2', '4-1']",0,1
1642767586,"['4-1', '3-1', '1-5', '1-4', '5-1']",0,1
1646516604,"['4-4', '4-1', '4-2', '4-3', '4-5']",0,1
1648049200,"['4-1', '4-3', '4-4', '4-2', '4-5']",0,1
1662055666,"['4-2', '4-1', '4-5', '4-3', '4-4']",0,1
1666423503,"['4-4', '4-3', '4-1', '4-2', '4-5', '1-5', '1-3', '2-1']",0,1
1698231079,"['4-2', '4-4', '4-1', '4-5', '4-3']",0,1
1753761068,"['4-4', '4-5', '4-3', '4-2', '4-1', '8-1', '8-2', '5-1', '5-2', '7-1', '6-2', '7-2', '6-1', '1-5', '1-2', '1-3', '1-1', '1-4', '2-2', '3-3', '3-2', '2-1', '3-1']",0,1
1766774437,"['4-1', '4-2', '4-4', '4-5', '4-3']",0,1
1769692132,"['4-1', '4-4', '4-5', '4-3', '4-2']",0,1
1825847030,"['4-1', '4-4', '4-2', '4-3', '4-5', '5-2', '5-1', '7-2', '7-1', '6-2', '6-1', '8-2', '8-1', '1-5', '1-2', '1-4', '1-3', '1-1', '2-2', '2-1', '3-2', '3-3', '3-1']",0,1
1833589171,"['4-2', '4-1', '4-5', '4-4', '4-3', '1-3']",0,1
1858396270,"['4-4', '4-5', '4-2', '4-3', '4-1']",0,1
1863043168,"['4-2', '4-3', '4-5', '4-4', '4-1']",0,1
1876385666,"['4-1', '4-4', '4-5', '4-2', '4-3']",0,1
1882598554,"['4-2', '4-1', '4-3', '4-5', '4-4']",0,1
1886648662,"['4-1', '4-5', '4-4', '4-2', '4-3']",0,1
1899122739,"['4-3', '4-4', '3-2', '3-3', '8-2']",0,1
1905387857,"['4-4', '4-5', '4-1', '4-3', '4-2', '5-1', '5-2', '6-1', '6-2']",0,1
1920080394,"['4-4', '4-2', '4-3', '4-5', '4-1', '5-2', '5-1']",0,1
1990097406,"['4-4', '4-2', '4-3', '4-1', '4-5']",0,1
2000966173,"['4-4', '4-1', '4-3', '4-5', '4-2']",0,1
2009547507,"['4-3', '4-1', '4-5', '4-2']",0,1
2010879017,"['4-4', '4-5', '4-3', '4-2', '4-1']",0,1
2099299792,"['4-1', '1-2', '8-2', '5-2', '7-2']",0,1
2099805392,"['4-2', '4-3', '4-5', '4-4', '4-1', '8-2', '8-1']",0,1
2141000324,"['4-1', '4-5', '4-4', '4-2', '4-3', '5-1', '5-2', '7-1', '7-2', '6-1', '6-2', '8-1', '8-2', '1-4', '1-5', '1-1', '1-2', '1-3', '2-1', '2-2', '3-1', '3-2', '3-3']",0,1
28924903,"['3-1', '3-3', '3-2', '1-4', '1-5']",0,1
39371793,"['3-3', '1-1', '4-5', '8-1', '5-1']",0,1
52105053,"['1-4', '1-1', '6-2', '7-1', '8-2', '4-2', '3-2', '2-1', '3-3', '4-4']",0,1
87513248,"['1-4', '1-1', '1-5', '1-3', '1-2', '3-1', '6-1']",0,1
135155015,"['3-2', '3-3', '3-1', '1-4', '1-3', '1-5', '1-1', '1-2']",0,1
143662835,"['1-2', '1-5', '1-1', '1-3', '1-4']",0,1
146039104,"['4-3', '4-2', '4-1', '4-4', '4-5']",0,1
171499258,"['1-4', '4-5', '4-4', '6-2', '6-1']",0,1
264807346,"['1-4', '1-3', '1-1', '1-5', '1-2']",0,1
269534159,"['3-1', '3-3', '3-2', '1-4', '1-2']",0,1
303164230,"['4-3', '4-5', '4-2', '4-1', '4-4']",0,1
318611830,"['1-4', '1-5', '1-1', '4-4', '4-1']",0,1
362484556,"['3-1', '3-2', '3-3', '1-4', '1-1', '1-5']",0,1
402761251,"['3-1', '1-1', '4-5', '3-3', '4-3']",0,1
431458815,"['3-3', '3-2', '3-1', '8-2', '8-1']",0,1
437466084,"['1-4', '1-1', '1-3', '1-2', '1-5']",0,1
447429285,"['3-1', '3-3', '3-2', '1-3', '4-5', '1-1']",0,1
516791023,"['1-4', '1-3', '1-2', '1-1', '1-5']",0,1
541020495,"['4-3', '4-5', '4-4', '4-2', '4-1']",0,1
574418677,"['3-3', '3-1', '1-3', '1-1', '3-2']",0,1
601066773,"['1-4', '1-3', '3-1', '1-2', '1-5']",0,1
655747296,"['3-3', '3-1', '3-2', '1-2', '1-5', '1-1', '1-3', '1-4', '2-1', '2-2']",0,1
689828301,"['3-3', '3-2', '3-1', '1-4', '1-3']",0,1
697657182,"['1-4', '1-5', '3-1', '1-3', '1-1']",0,1
700150417,"['3-1', '3-3', '1-1', '3-2', '1-4']",0,1
707249362,"['1-4', '4-2', '1-3', '5-2', '4-4']",0,1
731218363,"['3-3', '3-1', '3-2', '1-4', '1-3', '1-5', '1-1', '1-2']",0,1
740661442,"['1-4', '1-1', '1-3', '1-2', '1-5']",0,1
743420925,"['1-4', '1-3', '1-1', '1-2', '1-5']",0,1
794480336,"['3-1', '3-2', '3-3', '2-1', '1-4']",0,1
809100905,"['3-1', '3-2', '3-3', '1-5', '1-1']",0,1
811198689,"['3-3', '2-2', '5-1', '4-1', '1-1', '6-2', '7-1', '8-1']",0,1
819545902,"['3-3', '3-1', '3-2', '1-3', '1-4']",0,1
822690298,"['1-4', '2-2', '8-2', '5-2', '1-1']",0,1
891749324,"['3-3', '3-2', '3-1', '1-4', '4-5', '1-2', '1-3', '1-5', '1-1', '4-4', '4-3', '4-2', '4-1', '2-2', '2-1', '8-2', '8-1', '5-2', '5-1', '6-2', '6-1', '7-2', '7-1']",0,1
917327306,"['3-3', '1-3', '6-1', '5-1', '4-3']",0,1
922378729,"['1-4', '1-3', '1-5', '1-1', '1-2', '3-1', '3-2', '3-3', '6-1', '6-2', '2-1', '2-2', '7-1', '7-2', '8-1', '8-2', '5-1', '5-2', '4-1', '4-2', '4-4', '4-3', '4-5']",0,1
940881573,"['1-4', '3-3', '1-3', '1-5', '1-2', '1-1', '3-2', '3-1']",0,1
966249769,"['3-3', '3-2', '3-1', '1-1', '1-2']",0,1
995174654,"['3-1', '3-3', '3-2', '1-2', '1-4', '1-1', '1-5', '1-3']",0,1
1004507557,"['1-4', '1-2', '2-2', '3-2', '3-3', '1-3', '1-1', '1-5']",0,1
1043895605,"['3-1', '3-3', '3-2', '4-5', '4-1']",0,1
1047910136,"['3-1', '3-2', '3-3', '1-3', '1-4', '1-1', '1-2', '1-5']",0,1
1048851406,"['1-4', '1-2', '1-3', '1-1', '1-5']",0,1
1091950884,"['1-4', '3-2', '1-3', '1-2', '1-1']",0,1
1126984120,"['1-4', '1-3', '1-5', '3-1', '3-2']",0,1
1130188049,"['3-3', '1-3', '1-4', '1-5', '3-1', '1-1', '3-2', '1-2']",0,1
1137663760,"['3-3', '3-2', '3-1', '2-1', '2-2']",0,1
1138182688,"['3-3', '3-1', '1-4', '4-4', '1-5']",0,1
1160989402,"['1-4', '1-1', '1-2', '1-3', '1-5']",0,1
1169829272,"['1-4', '1-5', '1-1', '1-3', '1-2']",0,1
1200845100,"['4-3', '4-5', '4-4', '4-1', '4-2']",0,1
1209572348,"['3-1', '3-2', '3-3', '1-1', '4-5']",0,1
1248119943,"['1-4', '1-2', '1-1', '1-3', '1-5']",0,1
1253242119,"['1-2', '5-1', '4-3', '2-1', '3-2']",0,1
1270289176,"['1-4', '3-1', '1-3', '3-3', '1-1']",0,1
1281105960,"['1-4', '1-2', '1-3', '1-1', '1-5']",0,1
1322063674,"['1-4', '1-5', '4-1', '1-2', '1-3', '1-1', '4-4', '4-5', '4-3', '4-2', '6-2', '6-1', '7-2', '7-1', '8-2', '8-1', '3-2', '3-3', '3-1', '2-2', '2-1']",0,1
1334874161,"['1-2', '1-3', '1-4', '1-5', '1-1']",0,1
1341455507,"['3-1', '3-2', '3-3', '1-2', '1-1', '1-4', '1-3', '1-5', '2-1', '2-2', '4-4', '4-2', '4-3', '4-5', '5-1', '5-2', '6-1', '6-2', '7-1', '7-2', '8-1', '8-2', '4-1']",0,1
1351235697,"['3-3', '1-3', '1-1', '1-4', '3-2']",0,1
1412645577,"['1-4', '1-5', '1-1', '3-2', '4-1']",0,1
1423892444,"['1-4', '1-3', '1-2', '1-5', '1-1']",0,1
1449520834,"['1-4', '1-1', '1-2', '1-5', '1-3']",0,1
1451355357,"['3-3', '3-2', '3-1', '1-1', '1-2', '1-5', '1-4', '1-3']",0,1
1479540841,"['3-1', '3-3', '3-2', '1-3', '1-4', '1-1', '1-5', '1-2', '2-1', '2-2', '6-1', '6-2', '5-1', '5-2', '8-1', '8-2', '7-1', '7-2', '4-2', '4-4', '4-3', '4-1', '4-5']",0,1
1538495604,"['3-1', '3-3', '3-2', '5-1', '5-2']",0,1
1581500737,"['1-4', '1-3', '1-1', '1-2', '1-5']",0,1
1587818167,['1-4'],0,1
1637462975,"['1-4', '1-3', '1-5', '1-1', '1-2']",0,1
1652834250,"['1-4', '4-2', '6-2', '3-3', '8-1']",0,1
1702545905,"['3-1', '3-3', '3-2', '1-1', '1-3', '1-5']",0,1
1747808298,"['3-2', '3-3', '3-1', '1-2', '1-4']",0,1
1760512727,"['3-3', '3-2', '3-1', '4-5', '1-5']",0,1
1761027798,"['3-1', '3-2', '3-3', '1-1', '1-2']",0,1
1772057604,"['3-3', '2-1', '1-5', '4-5', '6-1']",0,1
1776479929,"['1-4', '1-3', '1-2', '1-1', '1-5']",0,1
1782261918,"['1-4', '1-2', '1-1', '1-3', '1-5']",0,1
1795495869,"['1-4', '1-5', '1-2', '1-3', '1-1']",0,1
1841018024,"['3-1', '3-3', '3-2', '1-4', '1-5']",0,1
1842883636,"['3-1', '3-3', '3-2', '1-3', '1-4']",0,1
1843787541,"['1-4', '1-5', '1-3', '3-3', '3-2']",0,1
1900393585,"['3-3', '3-1', '3-2', '1-1', '1-3', '4-5']",0,1
1964768091,"['3-1', '3-2', '3-3', '1-1', '1-3']",0,1
1998348578,"['3-1', '3-2', '3-3', '1-4', '1-1', '1-5', '1-3', '1-2', '2-2', '2-1', '5-2', '5-1', '8-2', '8-1', '6-2', '6-1', '7-2', '7-1', '4-2', '4-3', '4-4', '4-1', '4-5']",0,1
2009721505,"['1-2', '1-4', '4-1', '4-5', '2-2']",0,1
2060250689,"['3-2', '2-2', '1-2', '2-1', '3-1']",0,1
2073003716,"['1-4', '1-5', '1-2', '1-3', '1-1']",0,1
2078262120,"['1-4', '1-1', '1-5', '1-3', '1-2', '3-2', '3-1', '3-3', '6-2', '6-1', '4-2', '4-1', '4-4', '4-3', '4-5', '8-2', '8-1', '2-2', '2-1', '5-2', '5-1']",0,1
2089324183,"['1-4', '1-5', '1-1', '2-1', '3-3']",0,1
2091336194,"['1-4', '1-3', '1-1', '1-5', '1-2']",0,1
2091807580,"['3-2', '3-3', '3-1', '6-1', '6-2']",0,1
2093173848,"['1-4', '1-5', '1-1', '1-2', '1-3']",0,1
2094148704,"['3-3', '3-1', '3-2', '2-2', '1-3']",0,1
2097452264,"['3-2', '3-3', '3-1', '1-3', '1-2']",0,1
2103080285,"['1-4', '1-3', '1-1', '1-2', '1-5']",0,1
2119185146,"['1-2', '1-3', '1-1', '1-4', '1-5']",0,1
2125481301,"['3-3', '3-1', '3-2', '5-2', '5-1']",0,1
2135786143,"['3-3', '3-2', '1-4', '1-1', '3-1']",0,1
2141750135,"['3-3', '1-3', '6-1', '8-2', '1-1']",0,1
4587378,"['1-3', '1-5', '4-5', '4-4', '1-2', '1-1', '1-4', '4-2', '4-1', '4-3']",0,1
31085975,"['1-2', '1-4', '1-3', '4-2', '4-1']",0,1
56904430,"['1-2', '1-5', '1-3', '1-4', '1-1']",0,1
64545455,"['1-2', '1-3', '1-1', '1-5', '3-3']",0,1
92470137,"['1-1', '1-2', '1-3', '3-2', '7-1']",0,1
125330262,"['1-2', '1-4', '1-3', '1-1', '1-5', '3-2', '3-1', '3-3']",0,1
146196021,"['1-1', '1-2', '4-5', '4-3', '1-3']",0,1
162327669,"['1-2', '1-3', '1-1', '1-4', '1-5']",0,1
164091768,"['1-3', '1-4', '1-2', '1-1', '1-5', '2-1']",0,1
188086114,"['1-2', '1-3', '3-1', '3-2', '3-3', '1-5', '1-4', '1-1']",0,1
228394447,"['1-1', '1-2', '5-2', '5-1', '7-2']",0,1
263667665,"['1-2', '1-5', '1-1', '6-2', '6-1']",0,1
267600221,"['1-1', '1-3', '1-2', '1-5', '1-4', '3-1', '3-3', '3-2', '2-1', '2-2']",0,1
299853964,"['1-2', '1-4', '1-5', '1-3', '1-1']",0,1
316017442,"['1-3', '1-4', '1-1', '1-2', '1-5', '2-2']",0,1
319153146,"['1-3', '1-4', '1-2', '1-5', '1-1']",0,1
327813275,"['1-3', '1-5', '1-4', '1-2', '1-1']",0,1
359980061,"['1-2', '1-4', '1-1', '1-3', '1-5', '3-3', '3-2', '3-1', '6-2', '6-1']",0,1
369384941,"['1-3', '1-4', '1-5', '1-1', '1-2']",0,1
374660167,"['1-2', '1-3', '1-5', '6-2', '7-2', '7-1', '4-5']",0,1
377170243,"['1-2', '3-1', '1-5', '3-3', '2-1']",0,1
382561726,"['1-1', '4-4', '1-4', '6-1', '4-3']",0,1
410884514,"['1-2', '1-5', '1-1', '1-3', '1-4']",0,1
465998227,"['1-2', '1-4', '3-1', '1-5', '4-2', '6-1', '7-1', '2-1', '4-1', '1-3']",0,1
476874252,"['1-1', '1-5', '1-4', '1-3', '1-2']",0,1
512526374,"['1-2', '1-4', '4-4', '4-2', '6-2']",0,1
519074388,"['1-2', '1-5', '1-3', '1-4', '1-1']",0,1
547208506,"['1-1', '1-4', '1-3', '1-5', '1-2']",0,1
562199370,"['1-2', '1-1', '1-3', '1-5', '1-4', '3-1', '3-2', '3-3', '8-2', '7-2', '8-1', '7-1', '2-2', '2-1', '4-5', '4-3', '4-2', '6-2', '6-1', '5-2', '5-1', '4-4', '4-1']",0,1
563348051,"['1-3', '1-5', '1-1', '1-2', '1-4']",0,1
594431332,"['1-3', '1-4', '4-4', '4-2', '7-1']",0,1
598764381,"['1-3', '1-4', '1-2', '1-5', '1-1', '3-3', '3-2', '3-1']",0,1
611433637,"['1-2', '1-5', '3-2', '1-3', '3-1', '1-1', '3-3', '1-4']",0,1
664291329,"['1-3', '1-5', '3-1', '3-3', '3-2', '5-2', '7-1']",0,1
673026367,"['1-3', '3-1', '1-1', '3-2', '3-3']",0,1
675220540,"['1-3', '1-2', '1-1', '1-4', '1-5', '3-2', '3-3', '3-1']",0,1
682598776,"['1-3', '1-4', '1-5', '1-1', '1-2']",0,1
735392966,"['1-3', '1-5', '1-4', '1-1', '1-2']",0,1
754486753,"['1-1', '3-2', '7-2', '8-1', '5-1']",0,1
779452439,"['1-3', '1-1', '1-2', '1-4', '1-5', '3-3', '3-2', '3-1', '6-1', '6-2']",0,1
783343405,"['1-2', '3-1', '1-1', '1-5', '3-2', '3-3', '1-4', '1-3', '2-2', '2-1', '4-1']",0,1
804520808,"['1-2', '1-3', '1-1', '1-4', '1-5']",0,1
810240186,"['1-2', '1-1', '1-5', '1-3', '1-4', '3-2', '3-3', '3-1', '6-1', '4-4', '4-1', '6-2']",0,1
818375913,"['1-2', '1-4', '1-5', '1-1', '1-3']",0,1
862379762,"['1-1', '1-3', '1-5', '1-2', '1-4', '2-2', '2-1', '3-2', '3-1', '3-3']",0,1
911899444,"['1-3', '1-2', '1-5', '1-4', '1-1']",0,1
930868805,"['1-3', '1-4', '1-1', '4-5', '4-3']",0,1
938606938,"['1-2', '4-1', '1-5', '4-5', '3-2', '3-1', '3-3', '1-4', '1-1', '1-3']",0,1
939327797,"['1-3', '3-1', '4-3', '1-4', '1-5']",0,1
949991495,"['1-3', '1-4', '1-2', '1-1', '1-5']",0,1
964677337,"['1-2', '3-1', '1-5', '3-3', '1-3', '3-2', '1-1', '1-4']",0,1
964968575,"['1-4', '1-2', '1-3', '1-5', '1-1']",0,1
1000682416,"['1-1', '2-1', '3-1', '4-1', '5-1']",0,1
1047003629,"['1-2', '1-5', '3-1', '4-1', '1-1', '3-2', '3-3', '2-1', '2-2']",0,1
1119030520,"['1-3', '1-4', '4-5', '1-2', '1-5']",0,1
1135902419,"['1-3', '1-5', '1-1', '1-2', '1-4', '2-2', '2-1', '6-1', '6-2', '3-1', '3-2', '3-3', '8-2', '8-1', '7-2', '7-1', '5-2', '5-1', '4-2', '4-1', '4-5', '4-4', '4-3']",0,1
1154645316,"['1-2', '1-5', '1-1', '1-3', '1-4', '3-2', '3-1', '3-3']",0,1
1212807918,"['1-1', '1-2', '1-3', '1-4', '1-5']",0,1
1292303596,"['1-2', '1-3', '1-4', '1-1', '1-5']",0,1
1321478596,"['1-3', '1-4', '1-1', '1-2', '1-5']",0,1
1333864651,"['1-1', '3-1', '3-3', '3-2', '1-4', '1-2', '1-5', '1-3', '2-1', '2-2', '6-1', '6-2', '8-1', '8-2', '7-1', '7-2', '5-1', '5-2', '4-1', '4-3', '4-4', '4-2', '4-5']",0,1
1362256501,"['1-3', '1-4', '1-1', '1-5', '1-2']",0,1
1420902734,"['1-2', '1-3', '1-5', '1-1', '1-4']",0,1
1432703045,"['1-3', '1-1', '1-2', '1-4', '1-5']",0,1
1432796557,"['1-1', '1-2', '1-5', '1-3', '1-4']",0,1
1441334787,"['1-3', '1-4', '1-2', '1-5', '1-1']",0,1
1465326796,"['1-3', '6-1', '3-3', '4-5', '3-1']",0,1
1467917742,"['1-2', '1-5', '1-4']",0,1
1467957416,"['1-3', '1-4', '1-1', '1-5', '1-2', '3-1', '3-3', '3-2']",0,1
1488649720,"['1-2', '1-4', '1-1', '1-3', '1-5']",0,1
1552284490,"['1-3', '1-2', '1-1', '1-5', '1-4', '3-2', '3-1', '3-3', '4-5', '4-3', '4-4', '4-1', '4-2', '2-2', '2-1', '5-1', '5-2', '6-2', '6-1']",0,1
1552956723,"['1-3', '1-5', '3-3', '1-1', '6-1']",0,1
1579150830,"['1-2', '1-4', '4-2', '4-5', '4-1']",0,1
1589688915,"['1-1', '1-4', '2-1', '3-3', '6-1']",0,1
1625328542,"['1-2', '1-1', '7-2', '8-1', '2-2']",0,1
1626494096,"['1-3', '1-1', '1-5', '1-2', '1-4']",0,1
1638251090,"['1-2', '1-5', '1-4', '1-1', '1-3']",0,1
1662585045,"['1-2', '1-1', '1-4', '1-5', '1-3']",0,1
1695976271,"['1-3', '1-1', '1-5', '1-4', '1-2', '4-3']",0,1
1771935781,"['1-2', '4-1', '6-1', '1-3', '2-1']",0,1
1809608225,"['1-2', '1-4', '1-5', '3-2', '8-2']",0,1
1817082052,"['1-3', '1-4', '5-1', '5-2', '4-4']",0,1
1830847658,"['1-2', '1-3', '1-1', '1-4', '1-5']",0,1
