id,votes,pref,value
160190936,"['1-3', '1-1', '1-4', '1-2', '5-3', '5-1', '5-4', '5-5', '5-2']",0,1.0
273410099,"['5-3', '5-1', '5-4', '1-3', '5-5']",0,1.0
419994898,"['5-5', '5-2', '5-1', '5-4', '5-3']",0,1.0
500751412,"['1-1', '1-4', '1-2', '1-3', '5-2']",0,1.0
527653244,"['1-4', '1-2', '1-1', '1-3', '6-2', '6-1', '6-3', '8-2', '8-1']",0,1.0
574523234,"['1-3', '1-4', '1-1', '1-2', '5-1', '5-2', '5-5', '5-3', '5-4']",0,1.0
589143190,"['5-3', '5-2', '3-5', '5-5', '5-1']",0,1.0
606014714,"['7-1', '7-2', '7-3', '5-3', '5-5', '5-4', '5-2', '5-1', '1-3', '1-4', '1-2', '1-1']",0,1.0
622810533,"['5-3', '5-5', '5-1', '5-2', '5-4', '1-4', '1-1', '1-3', '1-2', '6-3', '6-2', '6-1']",0,1.0
637253663,"['1-3', '5-4', '1-2', '1-1', '1-4', '5-3', '5-1', '5-5', '5-2', '7-3']",0,1.0
676474486,"['5-3', '5-5', '5-2', '5-1', '5-4', '1-3', '1-4', '1-2', '1-1']",0,1.0
722815175,"['5-3', '5-2', '5-5', '5-4', '5-1']",0,1.0
761691975,"['5-3', '5-1', '1-3', '5-5', '5-2']",0,1.0
792445708,"['1-3', '1-2', '1-1', '5-5', '2-2', '5-4', '1-4', '6-3', '2-1', '5-1', '5-3', '5-2']",0,1.0
864641967,"['1-3', '1-4', '1-2', '1-1', '7-2', '7-3', '7-1', '5-4', '5-5', '5-3', '5-2', '5-1', '6-3', '6-2', '6-1', '8-2', '8-1', '4-2', '4-1', '9-2', '9-1', '2-2', '2-1', '3-3', '3-2', '3-1', '3-5', '3-4']",0,1.0
877561235,"['3-5', '3-3', '3-2', '3-4', '3-1']",0,1.0
922404328,"['5-3', '5-1', '1-3', '1-2', '3-3', '5-2', '5-5', '5-4', '1-1', '1-4', '3-2', '3-1', '3-5', '3-4', '7-3', '7-2', '7-1', '6-3', '6-2', '6-1', '2-2', '2-1', '4-2', '4-1', '8-2', '8-1', '9-2', '9-1']",0,1.0
993827017,"['1-3', '1-4', '1-1', '1-2', '5-3', '5-1', '5-2', '5-5', '5-4']",0,1.0
1023952312,"['1-3', '1-1', '1-2', '1-4', '5-3']",0,1.0
1075697192,"['3-3', '5-3', '9-2', '7-3', '6-1']",0,1.0
1134587978,"['5-3', '1-3', '5-1', '5-4', '1-1', '5-5', '1-4', '5-2', '1-2']",0,1.0
1184174810,"['5-3', '5-1', '5-2', '5-5', '5-4', '1-1', '1-4', '1-2', '1-3']",0,1.0
1248771984,"['1-3', '1-1', '1-2', '1-4', '5-5', '5-1', '5-2', '5-3', '5-4']",0,1.0
1256408899,"['5-3', '1-4', '1-3', '1-2', '1-1', '5-2', '5-4', '5-1', '5-5', '3-3', '3-2', '3-4', '3-1', '3-5']",0,1.0
1272916330,"['1-4', '1-1', '1-2', '1-3', '6-1', '6-2', '6-3', '5-4', '5-1', '5-2', '5-5', '5-3']",0,1.0
1316112776,"['5-3', '1-3', '5-1', '1-1', '5-4', '1-2', '5-5', '1-4', '5-2']",0,1.0
1344936538,"['1-4', '1-3', '1-1', '1-2', '5-1', '2-1', '2-2']",0,1.0
1392369174,"['5-3', '5-5', '5-4', '5-2', '5-1']",0,1.0
1439406932,"['1-2', '1-3', '1-1', '1-4', '5-2', '8-2', '8-1', '7-2', '7-3', '7-1', '2-2', '2-1', '5-3', '5-1', '5-4', '5-5']",0,1.0
1527843807,"['1-3', '5-3', '1-1', '1-4', '1-2']",0,1.0
1561387346,"['1-2', '1-1', '1-3', '1-4', '5-1']",0,1.0
1562124688,"['3-5', '3-2', '3-3', '3-1', '3-4']",0,1.0
1632416898,"['5-5', '5-3', '5-4', '5-2', '5-1', '1-1', '1-2', '1-3', '1-4']",0,1.0
1666506026,"['1-1', '1-4', '1-2', '1-3', '5-2']",0,1.0
1715738746,"['2-1', '2-2', '1-4', '1-1', '1-2']",0,1.0
1852828256,"['1-3', '1-4', '1-1', '1-2', '5-3', '5-5', '5-4', '5-1', '5-2', '6-3', '6-1', '6-2', '8-1', '8-2', '7-3', '7-1', '7-2', '4-1', '4-2', '2-1', '2-2', '9-1', '9-2', '3-5', '3-3', '3-4', '3-1', '3-2']",0,1.0
2005904947,"['5-3', '3-4', '2-2', '3-3', '5-4', '3-2', '3-1', '3-5', '4-2', '4-1', '9-2', '9-1', '5-2', '5-1', '5-5', '2-1']",0,1.0
67079627,"['5-3', '5-1', '1-3', '1-1', '1-2']",0,1.0
204191960,"['9-1', '9-2', '6-1', '6-3', '6-2', '8-1', '8-2']",0,1.0
205173306,"['3-2', '3-5', '3-4', '3-1', '3-3']",0,1.0
250270644,"['5-3', '5-4', '1-3', '1-2', '5-5']",0,1.0
354841001,"['5-4', '1-2', '5-5', '2-1', '2-2', '6-2']",0,1.0
375644363,"['3-2', '3-3', '3-5', '3-4', '3-1']",0,1.0
466347620,"['5-3', '5-2', '5-4', '5-5', '5-1', '9-1', '9-2', '3-1', '3-2', '3-3']",0,1.0
501473844,"['5-3', '5-5', '5-1', '5-4', '5-2']",0,1.0
554179421,"['1-4', '1-2', '1-1', '1-3', '2-2']",0,1.0
593378457,"['5-3', '5-1', '1-3', '5-5', '5-2']",0,1.0
707959601,"['5-2', '5-3', '5-4', '5-5', '5-1', '1-4', '1-1']",0,1.0
1120966715,"['5-3', '1-4', '5-5', '5-1', '1-2', '1-3', '1-1', '5-4', '5-2', '6-2', '6-3', '6-1']",0,1.0
1203071353,"['3-3', '5-3', '5-5', '5-2', '5-1']",0,1.0
