id,votes,pref,value
18842358,"['7-5', '7-3', '7-1', '7-2', '7-4']",0,1
159709673,"['7-5', '7-2', '7-4', '7-3', '7-1']",0,1
181993715,"['7-4', '7-3', '7-5', '7-1', '7-2', '1-2', '1-1', '2-2', '2-1', '8-2', '8-1', '9-2', '9-1', '9-3', '4-2', '4-1', '5-2', '5-4', '5-1', '5-5', '5-3', '6-2', '6-4', '6-1', '6-5', '6-3', '3-2', '3-1', '3-3']",0,1
182943414,"['7-4', '7-5', '7-1', '7-3', '7-2']",0,1
190805683,"['7-4', '4-2', '4-1', '9-2', '5-3']",0,1
196349262,"['7-4', '7-2', '7-5', '7-3', '7-1', '5-4', '5-2', '5-1', '5-3', '5-5']",0,1
237246832,"['7-5', '7-2', '5-3', '5-4', '9-2', '9-1', '9-3', '7-1', '7-4', '7-3', '5-5', '5-2', '5-1', '4-2', '4-1', '2-2', '2-1', '1-2', '1-1', '6-5', '6-2', '6-1', '6-4', '6-3', '8-2', '8-1', '3-2', '3-1', '3-3']",0,1
251074509,"['7-4', '5-4', '5-3', '7-2', '7-5']",0,1
288517984,"['7-4', '7-3', '7-1', '7-5', '7-2']",0,1
289412084,"['7-4', '7-3', '7-2', '7-1', '7-5', '4-2', '4-1']",0,1
374070216,"['7-4', '7-3', '7-1', '7-5', '7-2']",0,1
412054970,"['7-4', '7-2', '7-5', '7-1', '7-3', '4-2', '4-1', '1-2', '1-1']",0,1
417786290,"['7-5', '7-2', '9-1', '9-3', '8-2']",0,1
431279167,"['7-4', '7-3', '7-1', '7-5', '7-2']",0,1
442239901,"['7-5', '7-2', '7-4', '7-1', '7-3']",0,1
445208300,"['7-4', '7-3', '7-2', '7-5', '7-1']",0,1
479071439,"['7-4', '7-2', '7-5', '7-1', '7-3']",0,1
536314176,"['7-4', '7-3', '7-1', '7-5', '7-2']",0,1
571687243,"['7-4', '7-5', '7-2', '7-3', '7-1']",0,1
574082272,"['7-5', '7-2', '7-4', '7-3', '7-1']",0,1
624322869,"['7-5', '7-1', '7-3', '7-4', '7-2']",0,1
640504393,"['7-4', '7-2', '7-1', '5-3', '5-5']",0,1
660493222,"['7-4', '7-5', '5-3', '7-3', '7-1']",0,1
680116892,"['7-4', '7-2', '7-5', '7-3', '7-1']",0,1
709921240,"['7-5', '7-2', '5-3', '7-4', '7-1']",0,1
747103784,"['7-4', '7-2', '7-1', '7-3', '7-5']",0,1
789040730,"['7-4', '7-3', '7-1', '7-2', '7-5']",0,1
792541862,"['7-5', '7-2', '7-4', '7-1', '7-3']",0,1
804954171,"['7-4', '7-5', '7-3', '7-2', '5-3']",0,1
806221226,"['7-4', '4-1', '7-1', '7-3', '7-2']",0,1
813865715,"['7-4', '7-2', '7-5', '7-1', '7-3']",0,1
835864604,"['7-5', '7-2', '7-4', '7-1', '7-3']",0,1
842781897,"['7-5', '7-1', '7-4', '7-2', '7-3']",0,1
852526806,"['7-4', '7-5', '7-2', '7-3', '7-1']",0,1
877112656,"['7-5', '7-4', '7-2', '7-1', '7-3']",0,1
882471168,"['7-5', '7-1', '7-2', '7-4', '7-3']",0,1
883933026,"['7-4', '5-4', '7-5', '7-3', '7-2']",0,1
943191388,"['7-4', '7-2', '7-3', '7-5', '7-1']",0,1
955964352,"['7-5', '7-2', '7-4', '7-3', '7-1', '8-2', '9-1', '6-5', '2-2']",0,1
982157817,"['7-4', '4-1', '4-2', '7-2', '7-5', '7-1', '7-3']",0,1
1009882433,"['7-5', '7-2', '7-1', '7-4', '7-3']",0,1
